a1preR,a1postR,a2preR,a2postR
SPP2,-0.914661360147302,-0.323943035745657,-0.184247763500441,1.4228521593934
PON3,-0.995560874307079,0.123797362905707,-0.462323941392438,1.33408745279381
AOC3,-0.925865491190163,0.31276211424706,-0.65703667714558,1.27014005408868
VASN,-0.820811746325712,0.585096472011851,-0.871118942510301,1.10683421682416
SFRP4,-1.03188228270449,0.461107434604071,-0.597705698100964,1.16848054620138
CHRDL2,-0.805491956785048,0.749752070524807,-0.917513860633781,0.973253746894022
HDGFL2,0.410854775643795,-0.393705056095029,-1.16530465227037,1.1481549327216
RASAL3,0.533037045296168,1.06418767991506,-1.19092134723755,-0.406303377973686
CILP2,-0.900323594294752,0.735763358930148,-0.82174689233465,0.986307127699253
HHIPL1,0.107015233955449,0.867211847532556,-1.42571147065018,0.451484389162173
PGLYRP2,-1.20124634166759,0.416712278933786,-0.341085290311177,1.12561935304498
MYOC,-1.2311482243157,0.0122426892669742,0.000659364703002147,1.21824617034572
GTPBP4,1.02107697870184,-0.433174091527111,-1.18752491779656,0.599622030621837
TMEM126A,-1.03271861511789,0.250904474757017,-0.493661336304273,1.27547547666514
TINAG,-1.23827093313763,0.579722154600883,-0.346656107437932,1.00520488597468
FCGBP,0.117323582308009,-0.479140048319354,-0.979092718199212,1.34090918421056
